Review,Actual,Predicted,Probability
0,Negative,Positive,0.9999999
1,Positive,Negative,0.023752488
1,Positive,Negative,0.12044247
0,Negative,Positive,0.88485366
0,Negative,Positive,0.945484
1,Positive,Negative,3.9880295e-05
1,Positive,Negative,0.12496521
0,Negative,Positive,0.9998939
1,Positive,Negative,3.6827372e-05
1,Positive,Negative,0.0053444416
1,Positive,Negative,0.022671225
1,Positive,Negative,0.17522179
0,Negative,Positive,0.9990122
1,Positive,Negative,0.39470133
0,Negative,Positive,0.9999983
0,Negative,Positive,0.9993594
0,Negative,Positive,0.80903155
0,Negative,Positive,0.9997991
0,Negative,Positive,0.8682932
1,Positive,Negative,0.011850483
1,Positive,Negative,2.1047788e-05
0,Negative,Positive,0.99558514
0,Negative,Positive,0.9999599
1,Positive,Negative,0.0002850009
1,Positive,Negative,4.8050647e-06
0,Negative,Positive,0.99075633
1,Positive,Negative,1.2438985e-05
0,Negative,Positive,0.96672326
1,Positive,Negative,0.3504703
0,Negative,Positive,0.9999986
1,Positive,Negative,0.1119502
0,Negative,Positive,0.9999624
1,Positive,Negative,2.356782e-06
0,Negative,Positive,0.7350962
0,Negative,Positive,0.9997662
1,Positive,Negative,0.00030524094
1,Positive,Negative,0.08120222
0,Negative,Positive,0.9846479
1,Positive,Negative,4.4365806e-05
1,Positive,Negative,0.06382844
1,Positive,Negative,0.21232536
0,Negative,Positive,0.9461692
1,Positive,Negative,0.0016385047
1,Positive,Negative,0.010144874
0,Negative,Positive,0.9812576
0,Negative,Positive,0.89942753
1,Positive,Negative,0.0026777463
0,Negative,Positive,0.999994
1,Positive,Negative,0.0039302986
0,Negative,Positive,0.9504425
0,Negative,Positive,0.9950647
1,Positive,Negative,0.0015933017
1,Positive,Negative,0.05717487
1,Positive,Negative,0.033983737
0,Negative,Positive,0.9999168
0,Negative,Positive,0.9989749
0,Negative,Positive,0.99999076
0,Negative,Positive,0.9972313
1,Positive,Negative,8.292331e-06
1,Positive,Negative,0.025140623
0,Negative,Positive,0.99999803
1,Positive,Negative,0.0011470873
0,Negative,Positive,0.9375233
1,Positive,Negative,9.150917e-06
0,Negative,Positive,0.7551967
1,Positive,Negative,0.32162413
1,Positive,Negative,6.915776e-06
1,Positive,Negative,2.6294052e-05
0,Negative,Positive,0.9998062
1,Positive,Negative,0.010624478
0,Negative,Positive,0.5857636
0,Negative,Positive,0.9999997
0,Negative,Positive,1.0
0,Negative,Positive,0.9987389
0,Negative,Positive,1.0
1,Positive,Negative,0.4028245
0,Negative,Positive,0.9998038
0,Negative,Positive,0.96699506
0,Negative,Positive,0.99920255
0,Negative,Positive,0.93520546
0,Negative,Positive,0.6147777
1,Positive,Negative,0.0004770017
0,Negative,Positive,0.9987058
0,Negative,Positive,0.99946827
1,Positive,Negative,0.09577039
0,Negative,Positive,0.9999149
0,Negative,Positive,0.9999997
1,Positive,Negative,0.035647467
0,Negative,Positive,0.9988057
0,Negative,Positive,0.999991
0,Negative,Positive,0.9997781
1,Positive,Negative,4.6805206e-05
0,Negative,Positive,0.9966025
0,Negative,Positive,0.9999807
0,Negative,Positive,1.0
0,Negative,Positive,0.95724714
1,Positive,Negative,0.043614253
1,Positive,Negative,0.10735553
0,Negative,Positive,0.9999899
0,Negative,Positive,0.77648205
1,Positive,Negative,1.52731e-05
1,Positive,Negative,0.00028140878
1,Positive,Negative,0.28957018
1,Positive,Negative,0.0006175842
0,Negative,Positive,0.98734915
1,Positive,Negative,0.344094
0,Negative,Positive,0.9999686
0,Negative,Positive,0.9435766
0,Negative,Positive,0.9980076
0,Negative,Positive,1.0
0,Negative,Positive,0.6173514
0,Negative,Positive,0.97893625
0,Negative,Positive,0.66212696
0,Negative,Positive,0.9999994
1,Positive,Negative,9.3258546e-05
0,Negative,Positive,0.9974129
0,Negative,Positive,0.99982566
1,Positive,Negative,0.0056753242
0,Negative,Positive,0.9786019
0,Negative,Positive,0.9991718
1,Positive,Negative,0.101338804
1,Positive,Negative,0.00011954442
1,Positive,Negative,0.14323466
0,Negative,Positive,0.9998926
0,Negative,Positive,0.9969918
1,Positive,Negative,0.23273951
0,Negative,Positive,0.9757229
0,Negative,Positive,0.99865127
0,Negative,Positive,0.9994496
0,Negative,Positive,0.9999701
1,Positive,Negative,0.49687922
1,Positive,Negative,2.549649e-05
0,Negative,Positive,0.99757284
0,Negative,Positive,0.61834836
0,Negative,Positive,0.8356817
1,Positive,Negative,0.0013880683
1,Positive,Negative,0.0005999185
1,Positive,Negative,0.00055433525
0,Negative,Positive,0.99999386
0,Negative,Positive,0.9959377
1,Positive,Negative,4.3166674e-06
0,Negative,Positive,0.8560963
1,Positive,Negative,0.00028454096
1,Positive,Negative,0.001446763
0,Negative,Positive,0.7845278
0,Negative,Positive,0.84852767
1,Positive,Negative,8.088612e-05
0,Negative,Positive,0.6732173
0,Negative,Positive,0.7428983
1,Positive,Negative,7.812518e-07
1,Positive,Negative,0.00013295042
0,Negative,Positive,0.99999785
0,Negative,Positive,0.98181814
1,Positive,Negative,0.00031335704
1,Positive,Negative,6.0404473e-05
0,Negative,Positive,0.9998747
1,Positive,Negative,0.0019254272
1,Positive,Negative,6.334577e-07
0,Negative,Positive,1.0
1,Positive,Negative,0.000118319156
1,Positive,Negative,0.0004710525
1,Positive,Negative,0.0037501603
0,Negative,Positive,0.6318787
0,Negative,Positive,0.99997485
0,Negative,Positive,0.99600166
0,Negative,Positive,0.99997145
1,Positive,Negative,0.18962272
0,Negative,Positive,0.99995995
1,Positive,Negative,0.0001573672
0,Negative,Positive,0.9910688
0,Negative,Positive,0.99969167
1,Positive,Negative,6.0311254e-06
0,Negative,Positive,0.9999926
1,Positive,Negative,0.00012104257
0,Negative,Positive,0.99989843
0,Negative,Positive,0.98717743
0,Negative,Positive,0.999994
0,Negative,Positive,0.6303649
1,Positive,Negative,0.011896341
0,Negative,Positive,0.9996875
0,Negative,Positive,0.92415863
1,Positive,Negative,0.23457849
1,Positive,Negative,0.0012459682
1,Positive,Negative,0.16654487
1,Positive,Negative,6.348271e-05
1,Positive,Negative,0.41075122
0,Negative,Positive,0.9891598
1,Positive,Negative,0.0007603523
0,Negative,Positive,0.9992238
0,Negative,Positive,0.99995565
0,Negative,Positive,0.9999607
0,Negative,Positive,0.9999418
1,Positive,Negative,0.28544837
1,Positive,Negative,0.00018940472
1,Positive,Negative,7.798237e-06
1,Positive,Negative,0.49120954
0,Negative,Positive,0.7984278
0,Negative,Positive,0.9957598
0,Negative,Positive,0.99978507
0,Negative,Positive,0.99999976
1,Positive,Negative,0.13305461
0,Negative,Positive,0.9868087
0,Negative,Positive,0.9999878
0,Negative,Positive,0.9990534
1,Positive,Negative,6.586382e-05
1,Positive,Negative,1.599855e-05
0,Negative,Positive,0.9404199
1,Positive,Negative,0.03152503
1,Positive,Negative,0.0389976
1,Positive,Negative,0.00011295809
0,Negative,Positive,0.96996397
1,Positive,Negative,5.370999e-05
0,Negative,Positive,0.87946564
1,Positive,Negative,0.375734
0,Negative,Positive,0.65536577
0,Negative,Positive,0.99997336
0,Negative,Positive,0.99957895
0,Negative,Positive,0.82763386
0,Negative,Positive,0.80798244
0,Negative,Positive,0.99993867
0,Negative,Positive,0.92651296
0,Negative,Positive,0.99409825
1,Positive,Negative,0.006696584
0,Negative,Positive,0.75029176
1,Positive,Negative,0.00031839203
0,Negative,Positive,0.89164346
1,Positive,Negative,0.0024076183
1,Positive,Negative,1.9780497e-05
1,Positive,Negative,0.16220193
1,Positive,Negative,0.00040624558
0,Negative,Positive,0.92279744
1,Positive,Negative,0.21862283
0,Negative,Positive,0.9699424
1,Positive,Negative,0.045664024
0,Negative,Positive,0.7253384
0,Negative,Positive,0.99996036
1,Positive,Negative,0.2332004
0,Negative,Positive,0.9999405
0,Negative,Positive,0.98812586
1,Positive,Negative,1.1102057e-06
1,Positive,Negative,0.008591854
1,Positive,Negative,0.00015725172
0,Negative,Positive,0.9366082
0,Negative,Positive,0.5363198
1,Positive,Negative,0.04227996
1,Positive,Negative,2.0886646e-05
1,Positive,Negative,0.00011197671
1,Positive,Negative,0.00022336375
1,Positive,Negative,0.00034297415
1,Positive,Negative,0.0003533476
1,Positive,Negative,0.008769796
1,Positive,Negative,0.18340617
1,Positive,Negative,0.000768652
0,Negative,Positive,0.6404016
