Review,Actual,Predicted,Probability
0,Negative,Positive,0.55448306
0,Negative,Positive,0.55523014
0,Negative,Positive,0.9130228
0,Negative,Positive,0.59222233
0,Negative,Positive,0.5551019
0,Negative,Positive,0.5554075
0,Negative,Positive,0.5004424
0,Negative,Positive,0.55512136
0,Negative,Positive,0.55547637
0,Negative,Positive,0.55544955
0,Negative,Positive,0.5545631
0,Negative,Positive,0.55576575
0,Negative,Positive,0.55539453
1,Positive,Negative,0.2565274
0,Negative,Positive,0.55536157
0,Negative,Positive,0.5558006
0,Negative,Positive,0.5910925
0,Negative,Positive,0.555782
0,Negative,Positive,0.55540794
0,Negative,Positive,0.55548865
0,Negative,Positive,0.5517657
1,Positive,Negative,0.19789153
0,Negative,Positive,0.53995293
1,Positive,Negative,0.17643088
0,Negative,Positive,0.5556587
0,Negative,Positive,0.5555468
0,Negative,Positive,0.55579764
0,Negative,Positive,0.55483305
0,Negative,Positive,0.55531234
0,Negative,Positive,0.55541444
0,Negative,Positive,0.55536693
0,Negative,Positive,0.5582165
0,Negative,Positive,0.5554793
1,Positive,Negative,0.47377127
0,Negative,Positive,0.55532837
0,Negative,Positive,0.56147194
0,Negative,Positive,0.5549066
0,Negative,Positive,0.5553964
0,Negative,Positive,0.8027278
0,Negative,Positive,0.5557918
0,Negative,Positive,0.5690825
0,Negative,Positive,0.55561095
0,Negative,Positive,0.5587834
0,Negative,Positive,0.7368603
1,Positive,Negative,0.0015064053
0,Negative,Positive,0.55492127
0,Negative,Positive,0.99894613
0,Negative,Positive,0.5530433
1,Positive,Negative,0.46470645
0,Negative,Positive,0.54665935
0,Negative,Positive,0.5546855
0,Negative,Positive,0.57075864
0,Negative,Positive,0.55540466
1,Positive,Negative,0.14528236
0,Negative,Positive,0.55546063
1,Positive,Negative,0.05526304
1,Positive,Negative,0.1550602
0,Negative,Positive,0.5588709
0,Negative,Positive,0.5582202
0,Negative,Positive,0.5554831
1,Positive,Negative,0.28586254
0,Negative,Positive,0.5565905
0,Negative,Positive,0.5555809
0,Negative,Positive,0.55546415
0,Negative,Positive,0.5558661
0,Negative,Positive,0.55488944
0,Negative,Positive,0.55550086
0,Negative,Positive,0.7816009
1,Positive,Negative,0.49904478
0,Negative,Positive,0.6847983
0,Negative,Positive,0.5553749
0,Negative,Positive,0.55318516
0,Negative,Positive,0.548297
0,Negative,Positive,0.55540323
0,Negative,Positive,0.55470854
0,Negative,Positive,0.55549765
0,Negative,Positive,0.55540097
0,Negative,Positive,0.5553465
0,Negative,Positive,0.55545884
0,Negative,Positive,0.55606866
0,Negative,Positive,0.55522925
0,Negative,Positive,0.55532545
0,Negative,Positive,0.5553496
0,Negative,Positive,0.55547744
0,Negative,Positive,0.5554032
0,Negative,Positive,0.5549143
0,Negative,Positive,0.5560377
0,Negative,Positive,0.5295907
0,Negative,Positive,0.5553986
0,Negative,Positive,0.5552021
0,Negative,Positive,0.5646629
0,Negative,Positive,0.5632954
1,Positive,Negative,0.20984355
0,Negative,Positive,0.5552954
0,Negative,Positive,0.5555599
0,Negative,Positive,0.5575243
0,Negative,Positive,0.5554619
0,Negative,Positive,0.5634868
0,Negative,Positive,0.55567294
0,Negative,Positive,0.5720832
0,Negative,Positive,0.5555578
0,Negative,Positive,0.5541373
0,Negative,Positive,0.55554605
0,Negative,Positive,0.5550769
0,Negative,Positive,0.5551478
0,Negative,Positive,0.5311521
0,Negative,Positive,0.5554027
0,Negative,Positive,0.5568265
1,Positive,Negative,0.4478775
0,Negative,Positive,0.55543846
0,Negative,Positive,0.5516405
0,Negative,Positive,0.99081767
0,Negative,Positive,0.55544615
0,Negative,Positive,0.55536205
0,Negative,Positive,0.55459374
0,Negative,Positive,0.5533839
0,Negative,Positive,0.563723
0,Negative,Positive,0.5554183
0,Negative,Positive,0.55554074
0,Negative,Positive,0.5554175
0,Negative,Positive,0.5554068
1,Positive,Negative,0.13371381
0,Negative,Positive,0.5554191
0,Negative,Positive,0.5554385
0,Negative,Positive,0.5560635
0,Negative,Positive,0.5539797
0,Negative,Positive,0.5569641
0,Negative,Positive,0.55556583
0,Negative,Positive,0.5554327
0,Negative,Positive,0.5555313
