document_id,category,title,content,text
KB001,Billing,Payment Failure,"If a payment fails, the customer should first verify that the payment method has sufficient balance and that the card or payment account is active. The customer can retry the payment after checking the payment details. If the payment continues to fail, the customer should contact customer support with the transaction details.","Payment Failure. If a payment fails, the customer should first verify that the payment method has sufficient balance and that the card or payment account is active. The customer can retry the payment after checking the payment details. If the payment continues to fail, the customer should contact customer support with the transaction details."
KB002,Billing,Refund Request,Customers can request a refund by contacting customer support and providing their order or transaction details. The support team should verify the transaction before processing the request. Refund processing time may depend on the payment method and transaction status.,Refund Request. Customers can request a refund by contacting customer support and providing their order or transaction details. The support team should verify the transaction before processing the request. Refund processing time may depend on the payment method and transaction status.
KB003,Billing,Invoice Request,Customers who need an invoice should contact customer support with their order or transaction information. The support team can verify the purchase and provide the appropriate invoice information.,Invoice Request. Customers who need an invoice should contact customer support with their order or transaction information. The support team can verify the purchase and provide the appropriate invoice information.
KB013,Billing,Card Declined,"If a customer's card is declined, the customer should verify the card number, expiration date, security information, and available balance. The customer may retry the transaction after correcting any incorrect details. If the card continues to be declined, the customer should contact the card issuer or customer support.","Card Declined. If a customer's card is declined, the customer should verify the card number, expiration date, security information, and available balance. The customer may retry the transaction after correcting any incorrect details. If the card continues to be declined, the customer should contact the card issuer or customer support."
KB014,Billing,Insufficient Balance,A payment may fail when the selected payment account does not have sufficient funds. Customers should verify their available balance before retrying the transaction. The payment should only be retried after sufficient funds are available.,Insufficient Balance. A payment may fail when the selected payment account does not have sufficient funds. Customers should verify their available balance before retrying the transaction. The payment should only be retried after sufficient funds are available.
KB015,Billing,Payment Pending,"When a payment remains in pending status, customers should avoid making repeated payments for the same order. The payment status should first be checked through the available transaction information. If the payment remains pending for an extended period, support can review the transaction status.","Payment Pending. When a payment remains in pending status, customers should avoid making repeated payments for the same order. The payment status should first be checked through the available transaction information. If the payment remains pending for an extended period, support can review the transaction status."
KB016,Billing,Duplicate Payment,"If a customer believes that the same order was charged more than once, the customer should provide the order number and transaction details. Support should compare the transactions and verify whether multiple successful charges actually occurred before initiating a refund.","Duplicate Payment. If a customer believes that the same order was charged more than once, the customer should provide the order number and transaction details. Support should compare the transactions and verify whether multiple successful charges actually occurred before initiating a refund."
KB017,Billing,Payment Reversed,"A payment may be reversed when a previously processed transaction is later cancelled or rejected by the payment system. Customers should check their transaction history before attempting another payment. If the order still shows as unpaid, support should review the payment status.","Payment Reversed. A payment may be reversed when a previously processed transaction is later cancelled or rejected by the payment system. Customers should check their transaction history before attempting another payment. If the order still shows as unpaid, support should review the payment status."
KB018,Billing,Incorrect Billing Amount,"If a customer believes that the billed amount is incorrect, support should verify the order price, applicable discounts, taxes, shipping charges, and other fees. Customers should provide the order number and billing information so that the charge can be investigated.","Incorrect Billing Amount. If a customer believes that the billed amount is incorrect, support should verify the order price, applicable discounts, taxes, shipping charges, and other fees. Customers should provide the order number and billing information so that the charge can be investigated."
KB019,Billing,Unexpected Billing Charge,Customers who notice an unexpected charge should provide the transaction reference and account information to support. The support team should verify the transaction and determine whether the charge belongs to the customer's account or requires further investigation.,Unexpected Billing Charge. Customers who notice an unexpected charge should provide the transaction reference and account information to support. The support team should verify the transaction and determine whether the charge belongs to the customer's account or requires further investigation.
KB020,Billing,Payment Receipt,Customers who require confirmation of a successful payment can request a payment receipt. Support should verify the transaction before providing the receipt or payment confirmation information.,Payment Receipt. Customers who require confirmation of a successful payment can request a payment receipt. Support should verify the transaction before providing the receipt or payment confirmation information.
KB021,Billing,Billing Address Change,"Customers who need to update their billing address should use the available account settings when possible. If the billing address cannot be changed through the account, support should verify the customer information before making the required update.","Billing Address Change. Customers who need to update their billing address should use the available account settings when possible. If the billing address cannot be changed through the account, support should verify the customer information before making the required update."
KB022,Billing,Invoice Not Received,"If a customer has completed a purchase but has not received an invoice, support should verify the transaction and registered contact information. The invoice can be resent when the purchase has been successfully verified.","Invoice Not Received. If a customer has completed a purchase but has not received an invoice, support should verify the transaction and registered contact information. The invoice can be resent when the purchase has been successfully verified."
KB023,Billing,Invoice Correction,"If an invoice contains incorrect information, the customer should provide the invoice number and explain the required correction. Support should verify the original transaction before issuing or requesting a corrected invoice.","Invoice Correction. If an invoice contains incorrect information, the customer should provide the invoice number and explain the required correction. Support should verify the original transaction before issuing or requesting a corrected invoice."
KB024,Billing,Tax Information,Taxes may be included in the final transaction amount depending on the customer's location and applicable billing rules. Customers who have questions about tax information should provide the relevant invoice or order details for review.,Tax Information. Taxes may be included in the final transaction amount depending on the customer's location and applicable billing rules. Customers who have questions about tax information should provide the relevant invoice or order details for review.
KB025,Billing,Transaction Verification,"Before making changes to billing information, refunds, or payment records, support should verify the transaction using the available order and customer details. Sensitive payment information should not be requested unless it is required by an approved support procedure.","Transaction Verification. Before making changes to billing information, refunds, or payment records, support should verify the transaction using the available order and customer details. Sensitive payment information should not be requested unless it is required by an approved support procedure."
KB004,Account,Password Reset,"Customers who cannot access their account should use the password reset option on the account login page. They should follow the instructions sent to their registered email address. If the reset process does not work, the customer should contact customer support.","Password Reset. Customers who cannot access their account should use the password reset option on the account login page. They should follow the instructions sent to their registered email address. If the reset process does not work, the customer should contact customer support."
KB005,Account,Account Access Problem,"If a customer cannot access their account, they should verify their login credentials and check whether the account email is correct. Customers should use the password recovery process when necessary. Persistent access problems should be escalated to customer support.","Account Access Problem. If a customer cannot access their account, they should verify their login credentials and check whether the account email is correct. Customers should use the password recovery process when necessary. Persistent access problems should be escalated to customer support."
KB026,Account,Forgotten Username,Customers who have forgotten their username should use the account recovery option if available. They may need to provide their registered email address or other account information to verify ownership.,Forgotten Username. Customers who have forgotten their username should use the account recovery option if available. They may need to provide their registered email address or other account information to verify ownership.
KB027,Account,Email Address Change,Customers who want to change their registered email address should use the account settings when the option is available. Account ownership may need to be verified before the email address is changed.,Email Address Change. Customers who want to change their registered email address should use the account settings when the option is available. Account ownership may need to be verified before the email address is changed.
KB028,Account,Account Verification,Account verification may be required before support can make sensitive changes to an account. Customers should provide only the information requested through the approved verification process.,Account Verification. Account verification may be required before support can make sensitive changes to an account. Customers should provide only the information requested through the approved verification process.
KB029,Account,Locked Account,"An account may become temporarily locked after repeated unsuccessful login attempts or security-related activity. Customers should follow the account recovery instructions. If access remains blocked, support should verify the account and assist with recovery.","Locked Account. An account may become temporarily locked after repeated unsuccessful login attempts or security-related activity. Customers should follow the account recovery instructions. If access remains blocked, support should verify the account and assist with recovery."
KB030,Account,Multiple Login Attempts,Repeated unsuccessful login attempts can temporarily restrict account access. Customers should stop repeated login attempts and use the password recovery process instead of continuing to enter uncertain credentials.,Multiple Login Attempts. Repeated unsuccessful login attempts can temporarily restrict account access. Customers should stop repeated login attempts and use the password recovery process instead of continuing to enter uncertain credentials.
KB031,Account,Profile Information Update,Customers can update permitted profile information through account settings. Changes to sensitive account information may require additional verification before they can be completed.,Profile Information Update. Customers can update permitted profile information through account settings. Changes to sensitive account information may require additional verification before they can be completed.
